total tokens, 25300

tr_word_tri_grams, frequency
"their visit will",1
"American League champions",1
"horses and crossing",1
"not be surprised",1
"counties to repay",1
"Republican Leader Charles",1
"fullback Nick Arshinkoff",1
"pair of hits",1
"Chief John A.",1
"their support to",1
"its case .",1
". Goodis said",1
"increase the fee",1
"the twenty-first annual",1
"County Rep. B.D.",1
"and federal legislation",1
"Jr. , who",1
"leg and ,",1
"superintendent is Harry",1
"Hughes company .",1
"unit . ``",1
"voters '' ,",1
"injuring a knee",1
"war-ridden kingdom .",1
"and Mayor Terry",1
"said . And",1
"the program is",1
"a 5-to-2 victory",1
"local in Kansas",1
"William A. Martinelli",1
"Breeding to Adair",1
". The mayor",1
"on primary products",1
"Kennedy has attracted",1
"the field sharply",1
"toward a Geneva",1
"For medical research",1
"current spotlight on",1
"Chairman Bill Hollowell",1
"by the resignation",1
"for city employes",1
"of peace and",1
"sagging candidate who",1
"over the roof",1
"a hit .",1
"high . Great",1
"a football letterman",1
"played exceptionally well",1
"million have no",1
"Constitution Avenue ,",1
"Shortstop Jerry Adair",1
"here is to",1
"other personal property",1
"paying such taxes",1
"doing on the",1
"view the political",1
"but you ca",1
", with an",1
"He would assign",1
"reside at 4911",1
"Hank Stram 's",1
"Souvanna . Washington",1
"were doubles ,",1
"penalized for the",1
"prejudicial to my",1
"the day in",1
". Seeking this",1
"running mates ''",1
"The Communist countries",1
"problem confronting Davis",1
"election . Now",1
"wo n't last",1
"feared that there",1
"filed suit for",1
"out , Pelham",1
"the squad to",1
"such reports was",1
"had been brought",1
"is being sponsored",1
"'s move into",1
"was ill suited",1
", with no",1
"the present school",1
"some confidence in",1
"just as serious",1
"in the Raiders",1
"wiped out Mills",1
"most serious causes",1
"Rusk 's speeches",1
"on my place-kicking",1
"chicanery , or",1
"74 percent last",1
"threats of violence",1
"this one to",1
"year were honored",1
"people will like",1
"it to take",1
"until after the",1
"which no more",1
"the football ''",1
"New point added",1
"trim spending at",1
"big flash and",1
"for family breakups",1
"of the ninth",1
"countries shipped any",1
"`` false pretenses",1
"directed by Cotten",1
", represents part",1
"child health institute",1
"protect in fact",1
"'s immediate political",1
"exaltation to the",1
"ballot . Friday",1
"Detroit called for",1
"has consistently opposed",1
"Zimmerman , general",1
"but it added",1
"the alleged water",1
"Republicans be allowed",1
"go before the",1
"15 tries .",1
"office just which",1
"the economy ''",1
"recommend later an",1
", the Longhorns",1
"Vandiver is expected",1
"Mission , Sam",1
"whatever steps of",1
". But no",1
"'s 2 P.M.",1
"average , completes",1
"teamsters Gladden has",1
"federal support for",1
"is a desperate",1
". But as",1
"congressmen . Baton",1
"Cotten 's attack",1
"announced that five",1
"future Fulton County",1
"attack '' ,",1
"was picking up",1
"civil defense setup",1
"points in 135",1
"additional $ 457,000",1
"would go up",1
