total tokens, 4448

tr_pos_tri_grams, frequency
"CD CD RP",1
"VBP NN ``",1
"RB VBZ $",1
"TO WDT JJ",1
"CD '' ,",1
"VBZ VBN JJR",1
"'' , WP",1
". VBG NNP",1
"VB DT JJS",1
"NNP '' IN",1
"NNP VBG RB",1
"RP NN CC",1
"NNP NN CD",1
"`` RB VBD",1
"`` WP DT",1
"JJR NNS NNP",1
"RB JJ WRB",1
"VB JJ .",1
"JJ RB ''",1
"IN IN WP",1
"TO JJ IN",1
"NNPS DT NNS",1
"DT DT VBN",1
". VBG NNS",1
"VBP NNS .",1
"NN NNS PRP$",1
"NN NN (",1
"NNPS VBZ JJ",1
"VB '' NNP",1
"VBP VBG JJ",1
"VBD VBG VBN",1
"VBP : NN",1
"VBZ RP NN",1
"NNP CD NNS",1
"DT VBP VBN",1
"WP PRP VBZ",1
"MD IN DT",1
"NN NN )",1
"PRP RP .",1
"NNS PRP .",1
"VB JJ ,",1
"VB VBN ,",1
"IN TO IN",1
"PRP$ NNS RB",1
"NN JJ DT",1
"JJR . DT",1
"JJR '' ,",1
"NNS NNP VBZ",1
"CC DT NNPS",1
": IN PRP$",1
"NN VBD JJR",1
"CD NNS NN",1
"JJ RB RB",1
"WP VBP PRP$",1
"JJ '' PRP$",1
"NNS VBP ``",1
". VBG JJ",1
"NNP NN EX",1
", NN VBD",1
"NNS VB IN",1
"JJ NNP NNS",1
"RBR VBG VBZ",1
"POS , CC",1
"IN JJ JJR",1
", WRB CD",1
"NN VBG VBN",1
"VBN ) IN",1
"PRP , RB",1
"WDT VBZ IN",1
"IN CD MD",1
"NNS JJ .",1
"NN '' ``",1
"NNS '' VBD",1
"NNPS , CC",1
"$ CD ''",1
"FW FW NN",1
"NN VBD EX",1
"RB NN WP",1
"CC CD NNS",1
"VBD IN :",1
"VBN RB CD",1
"PRP$ JJ VBG",1
"DT VBG NNS",1
"`` RB VBP",1
"NN PRP ``",1
"PRP CC VB",1
"DT `` RB",1
"JJR DT NN",1
"NNS '' VBG",1
"WRB DT VBG",1
". EX RB",1
"JJS NN TO",1
"NNS VBD RBR",1
"CC CD NNP",1
"VBG JJR NNS",1
"DT NNS WRB",1
"VBG JJ JJ",1
"VBN NNS WDT",1
"CC VBG RB",1
"IN WRB DT",1
"RP DT NNP",1
"JJR TO JJ",1
"VBZ VBN NNS",1
"IN PRP$ JJS",1
"VBD NN NNP",1
"VB RB VBG",1
"RBS VB TO",1
". VBZ NNPS",1
"EX MD RB",1
": JJR ,",1
"VBD NN PRP",1
"VBG : RB",1
"PRP$ VBG NN",1
"RB VB VBG",1
"JJ NNP NNPS",1
", NNP MD",1
"`` VB ,",1
"VBP RB ,",1
"NNS NN RB",1
"NN CC PRP$",1
"VBP PRP JJ",1
"IN CD :",1
"NN ( IN",1
") . :",1
"CC RB CD",1
"VBD VBN RBR",1
"RBR VBN IN",1
"CC JJR NNS",1
"MD VB WP",1
"RB VBG ,",1
"DT NNS JJ",1
"RB . NN",1
"NN RP JJ",1
"VBG : CD",1
"VBZ TO ,",1
"IN VBD .",1
"NNP NN WDT",1
"NN ( WRB",1
"NNP VBZ CD",1
"NNS CC PRP$",1
"NN : ``",1
"RBS IN PRP$",1
"TO IN NNP",1
"NNP SYM .",1
"NN ) ''",1
"WDT , IN",1
"RB TO CD",1
"NNP WRB IN",1
"PRP WRB DT",1
"JJ RB ,",1
") CC IN",1
": WRB NN",1
"CC NNS WP",1
"NN : WRB",1
"IN NNP WRB",1
"VBN RB )",1
"JJ TO PRP$",1
"NN VBG VBD",1
"WP VBZ TO",1
"NNP CC ``",1
", NN VBZ",1
"`` NNP CC",1
